https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OMG
1641340800000,2022-01-05 00:00:00,OMG/USD,6.0322,6.2357,5.2879,5.5661,1719512.5762840188,308925.92233054
1641254400000,2022-01-04 00:00:00,OMG/USD,6.1876,6.26,5.999,6.0256,697741.9818690605,115796.26624221
1641168000000,2022-01-03 00:00:00,OMG/USD,6.2817,6.4518,6.0607,6.195,1097490.8226117885,177157.5177743
1641081600000,2022-01-02 00:00:00,OMG/USD,6.1292,6.4799,6.0684,6.2856,697363.8108152302,110946.25983442
1640995200000,2022-01-01 00:00:00,OMG/USD,5.8715,6.1252,5.8665,6.1145,430883.0456459764,70469.05644713
1640908800000,2021-12-31 00:00:00,OMG/USD,6.0664,6.138,5.72,5.8658,761597.4806209034,129836.93283455
1640822400000,2021-12-30 00:00:00,OMG/USD,5.9245,6.1487,5.7818,6.073,743150.8201702709,122369.63941549
1640736000000,2021-12-29 00:00:00,OMG/USD,6.2614,6.4248,5.86,5.9176,1172763.6404374496,198182.31047003
1640649600000,2021-12-28 00:00:00,OMG/USD,6.8614,6.8716,6.22,6.2461,1207145.4826750348,193263.87388531
1640563200000,2021-12-27 00:00:00,OMG/USD,6.8341,7.1966,6.7794,6.8714,1028572.7924200493,149688.9705766
1640476800000,2021-12-26 00:00:00,OMG/USD,6.8176,6.9948,6.6226,6.8139,1066435.8236426194,156508.87504111
1640390400000,2021-12-25 00:00:00,OMG/USD,6.6825,6.935,6.6319,6.8213,982344.8473557185,144011.38307298
1640304000000,2021-12-24 00:00:00,OMG/USD,6.9064,7.08,6.6001,6.6827,1958555.0104092269,293078.39801416
1640217600000,2021-12-23 00:00:00,OMG/USD,6.5453,6.9923,6.4165,6.9118,5102499.575059898,738230.21138631
