https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GRT
1642723200000,2022-01-21 00:00:00,GRT/USD,0.49769,0.50503,0.42386,0.43604,188157.02071161018,431513.21142925
1642636800000,2022-01-20 00:00:00,GRT/USD,0.52649,0.55932,0.49801,0.49801,78811.61468038474,158253.07660566
1642550400000,2022-01-19 00:00:00,GRT/USD,0.5283,0.5335,0.50103,0.52497,83498.04448341014,159052.982996
1642464000000,2022-01-18 00:00:00,GRT/USD,0.54757,0.55445,0.51689,0.53123,79043.97827408912,148794.26665303
1642377600000,2022-01-17 00:00:00,GRT/USD,0.58567,0.58567,0.53893,0.54755,76206.06398821941,139176.44779147
1642291200000,2022-01-16 00:00:00,GRT/USD,0.59396,0.59452,0.57462,0.58995,50944.723072083725,86354.30641933
1642204800000,2022-01-15 00:00:00,GRT/USD,0.58213,0.59918,0.57194,0.59399,75841.73578958964,127681.83940738
1642118400000,2022-01-14 00:00:00,GRT/USD,0.56617,0.58503,0.55858,0.57937,80481.21607705772,138911.60411664
1642032000000,2022-01-13 00:00:00,GRT/USD,0.59439,0.62468,0.5703,0.5703,176703.23832394116,309842.60621417
1641945600000,2022-01-12 00:00:00,GRT/USD,0.56898,0.59577,0.56575,0.59351,135771.86906861071,228760.87861807
1641859200000,2022-01-11 00:00:00,GRT/USD,0.53948,0.57033,0.53948,0.56712,85806.28418850328,151301.8129999
1641772800000,2022-01-10 00:00:00,GRT/USD,0.5808,0.59143,0.52325,0.54301,85793.24060645745,157995.69180394
1641686400000,2022-01-09 00:00:00,GRT/USD,0.57058,0.59438,0.57039,0.58192,86905.04470047436,149341.91074456
1641600000000,2022-01-08 00:00:00,GRT/USD,0.59233,0.61921,0.5463,0.57647,116455.2978667645,202014.4983551
1641513600000,2022-01-07 00:00:00,GRT/USD,0.63211,0.63298,0.58643,0.59344,153633.81382998725,258886.85263883
1641427200000,2022-01-06 00:00:00,GRT/USD,0.63472,0.64248,0.611,0.63817,77399.04157568328,121282.79545526
1641340800000,2022-01-05 00:00:00,GRT/USD,0.67477,0.73098,0.59968,0.63061,180997.5430069177,287019.77927232
1641254400000,2022-01-04 00:00:00,GRT/USD,0.65851,0.70626,0.64335,0.67973,80917.26599772823,119043.24657986
1641168000000,2022-01-03 00:00:00,GRT/USD,0.67201,0.69246,0.64532,0.66112,63611.943020605024,96218.45205198
1641081600000,2022-01-02 00:00:00,GRT/USD,0.66144,0.69314,0.65512,0.67719,53586.945450470594,79131.33012961
1640995200000,2022-01-01 00:00:00,GRT/USD,0.64758,0.66288,0.64381,0.66288,16795.849635290208,25337.6925466
1640908800000,2021-12-31 00:00:00,GRT/USD,0.64076,0.67774,0.62234,0.64973,74331.52710253368,114403.71708638
1640822400000,2021-12-30 00:00:00,GRT/USD,0.63301,0.65939,0.6147,0.63715,59599.078866554715,93540.10651582
1640736000000,2021-12-29 00:00:00,GRT/USD,0.67008,0.69188,0.6261,0.6261,81688.46596676786,130471.91497647
1640649600000,2021-12-28 00:00:00,GRT/USD,0.7202,0.72786,0.66609,0.67006,67412.60077121318,100606.81248129
1640563200000,2021-12-27 00:00:00,GRT/USD,0.73895,0.77519,0.73654,0.74626,54590.420146437245,73152.01155956
1640476800000,2021-12-26 00:00:00,GRT/USD,0.72029,0.74056,0.69007,0.73398,64203.65354254502,87473.30110159
1640390400000,2021-12-25 00:00:00,GRT/USD,0.69931,0.72719,0.69578,0.72016,36332.09166242766,50450.02730286
1640304000000,2021-12-24 00:00:00,GRT/USD,0.73112,0.74871,0.68848,0.68848,62832.8476688427,91263.14151296
