https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume UTK
1641686400000,2022-01-09 00:00:00,UTK/USD,0.34228,0.361,0.33265,0.3494,11109.650293313824,31796.36603696
1641600000000,2022-01-08 00:00:00,UTK/USD,0.36354,0.37792,0.33109,0.34352,6232.558317486173,18143.21820414
1641513600000,2022-01-07 00:00:00,UTK/USD,0.39026,0.39942,0.36193,0.36265,36119.63750081532,99599.16586465
1641427200000,2022-01-06 00:00:00,UTK/USD,0.37915,0.40091,0.35627,0.38929,23532.209305051747,60449.04648219
1641340800000,2022-01-05 00:00:00,UTK/USD,0.40665,0.45989,0.3682,0.38271,47455.54947415582,123998.71828318
1641254400000,2022-01-04 00:00:00,UTK/USD,0.41288,0.41703,0.37152,0.40672,36980.03410242464,90922.58581438
1641168000000,2022-01-03 00:00:00,UTK/USD,0.36604,0.42001,0.35419,0.40847,82510.92942877597,201999.97411995
1641081600000,2022-01-02 00:00:00,UTK/USD,0.32567,0.38749,0.32371,0.36549,91808.80830412846,251193.76263134
1640995200000,2022-01-01 00:00:00,UTK/USD,0.31986,0.32763,0.31939,0.32616,6904.704713222016,21169.6857776
1640908800000,2021-12-31 00:00:00,UTK/USD,0.32763,0.33407,0.31511,0.31843,10475.230395409506,32896.49340643
1640822400000,2021-12-30 00:00:00,UTK/USD,0.32131,0.33157,0.32083,0.32861,8895.914998071281,27071.34596656
1640736000000,2021-12-29 00:00:00,UTK/USD,0.32911,0.33458,0.31939,0.32083,12020.006160758025,37465.34351762
1640649600000,2021-12-28 00:00:00,UTK/USD,0.3688,0.3688,0.32763,0.32911,34493.04736677961,104807.04739078
1640563200000,2021-12-27 00:00:00,UTK/USD,0.32812,0.44089,0.32812,0.36935,103532.09281160738,280308.90161529003
1640476800000,2021-12-26 00:00:00,UTK/USD,0.32959,0.32959,0.31891,0.32665,7122.325732690635,21804.15041387
1640390400000,2021-12-25 00:00:00,UTK/USD,0.32468,0.3381,0.32468,0.33008,8880.898302839438,26905.29054423
