https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GNO
1646870400000,2022-03-10 00:00:00,GNO/USD,313.2,313.79,292.81,300.3,6751.643704806,22.482996019999998
1646784000000,2022-03-09 00:00:00,GNO/USD,299.57,318.69,298.02,313.15,5140.818419741999,16.41647268
1646697600000,2022-03-08 00:00:00,GNO/USD,292.85,302.45,290.31,300.28,18104.637863560798,60.29251986
1646611200000,2022-03-07 00:00:00,GNO/USD,305.03,309.21,289.82,291.59,11507.210800493198,39.46366748
1646524800000,2022-03-06 00:00:00,GNO/USD,312.02,315.43,305.59,305.59,7165.7453202679,23.44888681
1646438400000,2022-03-05 00:00:00,GNO/USD,308.78,314.92,305.53,313.46,5911.408722020199,18.85857437
1646352000000,2022-03-04 00:00:00,GNO/USD,336.16,339.41,308.72,311.64,2898.6109344864,9.30115176
1646265600000,2022-03-03 00:00:00,GNO/USD,353.17,355.31,329.88,336.17,2664.6820662147,7.92659091
1646179200000,2022-03-02 00:00:00,GNO/USD,355.62,363.66,351.09,354.76,3515.7821148352,9.91031152
1646092800000,2022-03-01 00:00:00,GNO/USD,347.65,362.84,345.84,355.62,2790.3770633022,7.84651331
1646006400000,2022-02-28 00:00:00,GNO/USD,319.07,351.91,312.19,347.49,4025.9472964425,11.58579325
1645920000000,2022-02-27 00:00:00,GNO/USD,341.81,343.21,318.77,319.12,6391.3113653672,20.02792481
1645833600000,2022-02-26 00:00:00,GNO/USD,339.73,346.39,338.14,341.98,2864.0836114350004,8.37500325
1645747200000,2022-02-25 00:00:00,GNO/USD,318.94,341.93,317.8,339.85,3176.1953230805,9.34587413
1645660800000,2022-02-24 00:00:00,GNO/USD,318.67,327.01,279.42,318.66,12717.452756710201,39.90915947
1645574400000,2022-02-23 00:00:00,GNO/USD,323.17,335.32,319.23,319.23,1216.4662145952,3.81062624
1645488000000,2022-02-22 00:00:00,GNO/USD,320.35,325.35,310.45,323.56,1375.7039760264,4.25177394
1645401600000,2022-02-21 00:00:00,GNO/USD,323.25,335.78,318.83,320.02,1113.686785074,3.4800537
