https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume GTX
1643068800000,2022-01-25 00:00:00,GTX/USD,6.2478,6.3074,5.981,6.2629,15659.895227190713,2500.42236459
1642982400000,2022-01-24 00:00:00,GTX/USD,6.1149,6.294,5.5343,6.2472,28428.237463523088,4550.55664354
1642896000000,2022-01-23 00:00:00,GTX/USD,5.6776,6.1774,5.6759,6.1155,13270.249480653496,2169.93696029
1642809600000,2022-01-22 00:00:00,GTX/USD,6.248,6.2937,5.3638,5.6473,34474.60604626633,6104.61743599
1642723200000,2022-01-21 00:00:00,GTX/USD,7.0348,7.0408,6.1799,6.2481,26244.54745079631,4200.4045151
1642636800000,2022-01-20 00:00:00,GTX/USD,7.0983,7.1735,6.9735,7.0348,11811.012140615736,1678.94071482
1642550400000,2022-01-19 00:00:00,GTX/USD,7.0439,7.1538,6.9554,7.0983,11247.690956762304,1584.56122688
1642464000000,2022-01-18 00:00:00,GTX/USD,6.9937,7.0907,6.7958,7.044,11489.1862089072,1631.0599388
1642377600000,2022-01-17 00:00:00,GTX/USD,7.0573,7.292,6.869,6.9937,13395.609684425976,1915.38237048
1642291200000,2022-01-16 00:00:00,GTX/USD,7.1008,7.1835,6.9102,7.0574,11717.618943754109,1660.33085042
1642204800000,2022-01-15 00:00:00,GTX/USD,6.8119,7.2559,6.7782,7.0924,21041.957896193413,2966.83180534
1642118400000,2022-01-14 00:00:00,GTX/USD,6.7699,6.8219,6.5618,6.8119,7906.054801551376,1160.62402583
1642032000000,2022-01-13 00:00:00,GTX/USD,6.8846,6.887,6.6137,6.7701,10867.632934087,1605.23964699
1641945600000,2022-01-12 00:00:00,GTX/USD,6.4185,6.9256,6.354,6.8588,11288.743845069755,1645.87739037
1641859200000,2022-01-11 00:00:00,GTX/USD,6.1426,6.3969,6.1182,6.3969,8733.380884126958,1365.25205711
1641772800000,2022-01-10 00:00:00,GTX/USD,6.2809,6.322,5.8458,6.1426,14778.314237938119,2405.8727962
1641686400000,2022-01-09 00:00:00,GTX/USD,6.1684,6.3021,6.1381,6.2803,6666.289657108757,1061.46038519
1641600000000,2022-01-08 00:00:00,GTX/USD,6.1774,6.2706,6.0199,6.1686,9073.254066425838,1470.87735733
1641513600000,2022-01-07 00:00:00,GTX/USD,6.2779,6.2875,5.9418,6.1628,25157.583783288937,4082.16781062
1641427200000,2022-01-06 00:00:00,GTX/USD,6.195,6.2918,5.8952,6.2648,15094.799496164424,2409.46231263
1641340800000,2022-01-05 00:00:00,GTX/USD,6.4831,6.5483,6.0101,6.195,13106.36185181505,2115.63548859
1641254400000,2022-01-04 00:00:00,GTX/USD,6.4152,6.5315,6.3209,6.4831,14727.158709218866,2271.62294415
1641168000000,2022-01-03 00:00:00,GTX/USD,6.6004,6.6906,6.2991,6.4256,15089.12393445939,2348.28248482
1641081600000,2022-01-02 00:00:00,GTX/USD,6.7607,6.781,6.6104,6.6106,7862.875948441232,1189.43453672
1640995200000,2022-01-01 00:00:00,GTX/USD,6.5426,6.7958,6.5249,6.7607,7383.941851055547,1092.18599421
1640908800000,2021-12-31 00:00:00,GTX/USD,6.8131,6.9242,6.4785,6.5351,14846.228061306212,2271.76754163
1640822400000,2021-12-30 00:00:00,GTX/USD,6.2972,6.8137,6.2643,6.8137,11878.058635528014,1743.26117022
1640736000000,2021-12-29 00:00:00,GTX/USD,6.4528,6.4947,6.2819,6.2966,10121.321489530594,1607.42646659
1640649600000,2021-12-28 00:00:00,GTX/USD,6.8411,6.8411,6.4053,6.4529,20336.19157499514,3151.48097367
1640563200000,2021-12-27 00:00:00,GTX/USD,6.7158,7.5298,6.5777,6.8303,42668.45688775311,6246.93745337
1640476800000,2021-12-26 00:00:00,GTX/USD,6.3823,6.8327,6.3517,6.7158,10452.416117396526,1556.39180997
1640390400000,2021-12-25 00:00:00,GTX/USD,6.3086,6.4915,6.2657,6.383,9575.89043218795,1500.21783365
1640304000000,2021-12-24 00:00:00,GTX/USD,6.2579,6.5493,6.2151,6.2828,13839.607175325773,2202.77697449
1640217600000,2021-12-23 00:00:00,GTX/USD,6.1193,6.2597,5.9889,6.2578,8892.448100469182,1421.01826528
1640131200000,2021-12-22 00:00:00,GTX/USD,6.0408,6.1503,5.9171,6.1195,8391.6724440929,1371.3003422
1640044800000,2021-12-21 00:00:00,GTX/USD,5.8343,6.0541,5.7958,6.0413,11363.614439538256,1880.98827066
1639958400000,2021-12-20 00:00:00,GTX/USD,5.8057,5.8474,5.6249,5.8343,10148.870038228304,1739.51802928
1639872000000,2021-12-19 00:00:00,GTX/USD,5.7942,5.9253,5.746,5.7924,8335.571055726383,1439.05307916
1639785600000,2021-12-18 00:00:00,GTX/USD,5.695,5.8737,5.6584,5.7943,8150.934841136909,1406.71605563
