https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume FCL
1641513600000,2022-01-07 00:00:00,FCL/USD,0.1604,0.16223,0.14263,0.14475,7395.249322579965,51089.80533734
1641427200000,2022-01-06 00:00:00,FCL/USD,0.14858,0.17276,0.14106,0.16238,40352.42189934555,248506.10850687
1641340800000,2022-01-05 00:00:00,FCL/USD,0.17522,0.17725,0.14286,0.14889,11014.644011621931,73978.40023925
1641254400000,2022-01-04 00:00:00,FCL/USD,0.17876,0.18124,0.16903,0.17301,7808.0672896899505,45130.72822201
1641168000000,2022-01-03 00:00:00,FCL/USD,0.19383,0.20124,0.17484,0.17911,6940.579728521174,38750.37534767
1641081600000,2022-01-02 00:00:00,FCL/USD,0.17823,0.2038,0.1753,0.19361,28450.631248297996,146948.14962191
1640995200000,2022-01-01 00:00:00,FCL/USD,0.14007,0.21396,0.13867,0.17541,38900.987797789945,221771.77924742
1640908800000,2021-12-31 00:00:00,FCL/USD,0.14411,0.14577,0.13575,0.14013,6921.790489346062,49395.49339432
1640822400000,2021-12-30 00:00:00,FCL/USD,0.14907,0.15108,0.13938,0.14176,12219.315683172723,86197.20431132
1640736000000,2021-12-29 00:00:00,FCL/USD,0.16231,0.16558,0.14871,0.1501,12649.956405769306,84276.85813304
1640649600000,2021-12-28 00:00:00,FCL/USD,0.16747,0.16936,0.15581,0.16059,2343.7271408529964,14594.477494570001
1640563200000,2021-12-27 00:00:00,FCL/USD,0.17153,0.17846,0.16648,0.16648,306.4516910320176,1840.77181062
1640476800000,2021-12-26 00:00:00,FCL/USD,0.18205,0.18222,0.16733,0.1718,5418.573999300166,31540.01163737
1640390400000,2021-12-25 00:00:00,FCL/USD,0.17926,0.18377,0.17187,0.17992,12570.087580348834,69864.87094458
