https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume MKR
1646611200000,2022-03-07 00:00:00,MKR/USD,1720.0,1814.0,1672.8,1743.3,114391.125679896,65.61757912
1646524800000,2022-03-06 00:00:00,MKR/USD,1837.1,1850.2,1723.1,1723.1,107344.43400110799,62.29727468
1646438400000,2022-03-05 00:00:00,MKR/USD,1795.0,1869.2,1760.3,1840.0,168308.6645336,91.47210029
1646352000000,2022-03-04 00:00:00,MKR/USD,2040.1,2049.7,1781.0,1796.0,145310.12995303998,80.90764474
1646265600000,2022-03-03 00:00:00,MKR/USD,1991.6,2076.8,1886.9,2042.5,242035.428731175,118.49959790999999
1646179200000,2022-03-02 00:00:00,MKR/USD,1966.9,2031.3,1918.8,1995.7,22818.220800788004,11.43369284
1646092800000,2022-03-01 00:00:00,MKR/USD,1969.2,2032.7,1912.6,1967.8,27745.020126838,14.09951221
1646006400000,2022-02-28 00:00:00,MKR/USD,1811.5,1968.4,1766.9,1965.9,98233.625506314,49.96878046
1645920000000,2022-02-27 00:00:00,MKR/USD,1938.2,1969.1,1791.1,1811.7,109730.831348358,60.56788174
1645833600000,2022-02-26 00:00:00,MKR/USD,1995.4,2038.5,1926.9,1944.0,102520.325592,52.736793
1645747200000,2022-02-25 00:00:00,MKR/USD,1900.9,2064.2,1848.2,1990.7,111789.22516813199,56.155736759999996
1645660800000,2022-02-24 00:00:00,MKR/USD,1741.2,1933.3,1520.5,1899.7,314250.538879123,165.42113959
1645574400000,2022-02-23 00:00:00,MKR/USD,1817.2,1876.9,1747.0,1747.0,144745.70012848,82.85386384
1645488000000,2022-02-22 00:00:00,MKR/USD,1671.4,1834.0,1643.1,1813.2,297080.493848268,163.84320199
1645401600000,2022-02-21 00:00:00,MKR/USD,1778.8,1861.4,1665.6,1668.8,178605.281490832,107.02617539
1645315200000,2022-02-20 00:00:00,MKR/USD,1911.3,1911.3,1749.1,1779.0,89987.42714115,50.58315185
1645228800000,2022-02-19 00:00:00,MKR/USD,1899.9,1932.2,1846.9,1913.6,61075.467464128,31.916527730000002
1645142400000,2022-02-18 00:00:00,MKR/USD,1971.1,2016.8,1891.8,1896.4,37996.464401720004,20.0361023
1645056000000,2022-02-17 00:00:00,MKR/USD,2132.7,2151.8,1945.4,1973.6,166919.65230411198,84.57623242
1644969600000,2022-02-16 00:00:00,MKR/USD,2105.3,2179.8,2026.6,2128.7,267998.533017124,125.89774652
1644883200000,2022-02-15 00:00:00,MKR/USD,1936.2,2100.0,1927.2,2100.0,99463.8897,47.363757
1644796800000,2022-02-14 00:00:00,MKR/USD,1927.1,1988.1,1871.3,1936.3,90731.39847440999,46.8581307
1644710400000,2022-02-13 00:00:00,MKR/USD,1995.0,2036.3,1928.8,1930.6,52837.704443748,27.36854058
1644624000000,2022-02-12 00:00:00,MKR/USD,2023.4,2054.5,1962.8,1992.5,30722.324006075,15.41898319
1644537600000,2022-02-11 00:00:00,MKR/USD,2106.1,2133.6,1969.4,2026.5,172152.2980863,84.9505542
