https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume WAX
1641600000000,2022-01-08 00:00:00,WAX/USD,0.41677,0.42518,0.4,0.41057,7213.644873184905,17569.82944001
1641513600000,2022-01-07 00:00:00,WAX/USD,0.43485,0.43485,0.40549,0.41367,9305.071068098661,22493.94703048
1641427200000,2022-01-06 00:00:00,WAX/USD,0.4316,0.43812,0.41875,0.43812,4366.9022320281065,9967.36563505
1641340800000,2022-01-05 00:00:00,WAX/USD,0.46984,0.52963,0.42096,0.43052,9407.423912138102,21851.30519404
1641254400000,2022-01-04 00:00:00,WAX/USD,0.46985,0.49762,0.46402,0.46984,4954.877779841859,10545.88323651
1641168000000,2022-01-03 00:00:00,WAX/USD,0.49637,0.50261,0.46985,0.46985,2814.2020468754745,5989.57549617
1641081600000,2022-01-02 00:00:00,WAX/USD,0.45483,0.5179,0.45483,0.49268,6006.043679536444,12190.55711524
1640995200000,2022-01-01 00:00:00,WAX/USD,0.4492,0.4594,0.43703,0.45483,4312.427159849872,9481.40439252
1640908800000,2021-12-31 00:00:00,WAX/USD,0.45257,0.46285,0.44142,0.44585,2686.25327971695,6025.015767
1640822400000,2021-12-30 00:00:00,WAX/USD,0.44142,0.46285,0.43922,0.4492,2517.4918909728,5604.389784
1640736000000,2021-12-29 00:00:00,WAX/USD,0.45711,0.47101,0.43594,0.44142,7266.982592270641,16462.73977679
1640649600000,2021-12-28 00:00:00,WAX/USD,0.50893,0.51146,0.45371,0.45371,6194.993326466422,13654.08152006
1640563200000,2021-12-27 00:00:00,WAX/USD,0.49762,0.51919,0.48778,0.50893,6399.857236751115,12575.12278064
1640476800000,2021-12-26 00:00:00,WAX/USD,0.5102,0.51146,0.49514,0.50135,1122.0348883347115,2238.02710349
1640390400000,2021-12-25 00:00:00,WAX/USD,0.48535,0.5257,0.48414,0.5102,3145.472587579212,6165.17559306
1640304000000,2021-12-24 00:00:00,WAX/USD,0.4939,0.55,0.42669,0.48535,14354.174186646253,29574.89273029
1640217600000,2021-12-23 00:00:00,WAX/USD,0.45826,0.4939,0.43813,0.4939,8248.248140425612,16700.23919908
1640131200000,2021-12-22 00:00:00,WAX/USD,0.45711,0.47202,0.45145,0.4617,3236.98976907282,7011.0239746
1640044800000,2021-12-21 00:00:00,WAX/USD,0.45032,0.49266,0.44032,0.45597,2562.9287445394675,5620.8275644
1639958400000,2021-12-20 00:00:00,WAX/USD,0.47102,0.47102,0.42201,0.4537,68291.70703406533,150521.72588509
1639872000000,2021-12-19 00:00:00,WAX/USD,0.47574,0.48413,0.4722,0.47456,1401.143716234672,2952.51120245
1639785600000,2021-12-18 00:00:00,WAX/USD,0.46751,0.49021,0.45712,0.47574,20130.23347003494,42313.51887593
1639699200000,2021-12-17 00:00:00,WAX/USD,0.45712,0.49637,0.45484,0.47101,145359.1434847591,308611.58677047
1639612800000,2021-12-16 00:00:00,WAX/USD,0.46401,0.49512,0.45712,0.45712,44974.50716109834,98386.65374759
