https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume IQX
1646092800000,2022-03-01 00:00:00,IQX/USD,0.0091428,0.0094263,0.0089247,0.0093082,5370.310856082486,576944.07684434
1646006400000,2022-02-28 00:00:00,IQX/USD,0.0084165,0.0092335,0.0083199,0.0091891,4212.613354150423,458435.90277072
1645920000000,2022-02-27 00:00:00,IQX/USD,0.0087821,0.0089946,0.0083738,0.008472,7813.418462890194,922263.74680007
1645833600000,2022-02-26 00:00:00,IQX/USD,0.0085256,0.0088522,0.0084326,0.0088305,10085.753121928163,1142149.72220465
1645747200000,2022-02-25 00:00:00,IQX/USD,0.0081233,0.0086985,0.0079733,0.0084474,1404.1928884253127,166227.82020803
1645660800000,2022-02-24 00:00:00,IQX/USD,0.0082973,0.0083008,0.007411,0.0081063,9613.217224690234,1185894.57886955
1645574400000,2022-02-23 00:00:00,IQX/USD,0.0083224,0.0085725,0.0081763,0.0082764,10744.537618488563,1298213.91166311
1645488000000,2022-02-22 00:00:00,IQX/USD,0.0080758,0.0087252,0.0078972,0.0084287,5573.965012065449,661307.7950414
1645401600000,2022-02-21 00:00:00,IQX/USD,0.0083854,0.0087624,0.008063,0.0080698,6423.46344449347,795987.93582164
1645315200000,2022-02-20 00:00:00,IQX/USD,0.0089033,0.0089041,0.0082687,0.0084364,7609.544805740394,901989.56969091
1645228800000,2022-02-19 00:00:00,IQX/USD,0.0087708,0.0091138,0.0087148,0.0088014,5434.059100645009,617408.49190413
1645142400000,2022-02-18 00:00:00,IQX/USD,0.0090624,0.0091816,0.0086807,0.0087737,5503.90288537389,627318.3360924
1645056000000,2022-02-17 00:00:00,IQX/USD,0.009711,0.0098155,0.0089366,0.0089545,4582.130273244358,511712.57727895
1644969600000,2022-02-16 00:00:00,IQX/USD,0.0098642,0.009897,0.0095087,0.0097623,5051.109055046192,517409.73490327
1644883200000,2022-02-15 00:00:00,IQX/USD,0.0093443,0.0099599,0.0092835,0.0099339,8118.968268003246,817299.17434273
1644796800000,2022-02-14 00:00:00,IQX/USD,0.009472,0.0095248,0.0090995,0.0093926,11059.267488293634,1177444.74248809
1644710400000,2022-02-13 00:00:00,IQX/USD,0.0092764,0.0095598,0.0092147,0.0094746,17987.866927625833,1898535.76168132
1644624000000,2022-02-12 00:00:00,IQX/USD,0.0095294,0.0098245,0.0090113,0.0092763,17938.676989883723,1933818.11604667
1644537600000,2022-02-11 00:00:00,IQX/USD,0.01001,0.010312,0.009524,0.009524,7813.585839925808,820410.10499011
1644451200000,2022-02-10 00:00:00,IQX/USD,0.010611,0.010611,0.0099351,0.01001,7843.900738451078,783606.4673777301
1644364800000,2022-02-09 00:00:00,IQX/USD,0.010056,0.010707,0.010009,0.010615,10559.167359992625,994740.21290557
1644278400000,2022-02-08 00:00:00,IQX/USD,0.010498,0.010607,0.0098201,0.010074,9611.974475186465,954136.83494009
1644192000000,2022-02-07 00:00:00,IQX/USD,0.010247,0.010672,0.009999,0.010491,26178.145667594174,2495295.5550085
1644105600000,2022-02-06 00:00:00,IQX/USD,0.010211,0.010324,0.00998,0.010236,13199.500206811987,1289517.40980969
1644019200000,2022-02-05 00:00:00,IQX/USD,0.010155,0.010489,0.010071,0.010171,14373.17809476245,1413152.89497222
1643932800000,2022-02-04 00:00:00,IQX/USD,0.0096247,0.01025,0.0094225,0.010149,9083.08715242394,894973.6084761
1643846400000,2022-02-03 00:00:00,IQX/USD,0.0090033,0.0097492,0.0089529,0.009691,4337.138614900457,447542.93828299
1643760000000,2022-02-02 00:00:00,IQX/USD,0.0089751,0.0093,0.0088368,0.0090431,6051.556944814356,669190.53696347
1643673600000,2022-02-01 00:00:00,IQX/USD,0.0090376,0.009186,0.008829,0.0089651,1013.511875183452,113050.81652000001
1643587200000,2022-01-31 00:00:00,IQX/USD,0.008868,0.0090949,0.0085577,0.0090287,9296.923156191739,1029707.83791595
1643500800000,2022-01-30 00:00:00,IQX/USD,0.0090404,0.0091506,0.0087771,0.0088628,3487.786615029025,393531.00769836
1643414400000,2022-01-29 00:00:00,IQX/USD,0.0089464,0.0091957,0.0088926,0.0090625,6271.263007704497,692001.43533291
1643328000000,2022-01-28 00:00:00,IQX/USD,0.0086789,0.009168,0.0086622,0.0089411,14224.993203132542,1590966.7941453
1643241600000,2022-01-27 00:00:00,IQX/USD,0.0086608,0.0088591,0.0083965,0.0086721,13558.405219468417,1563451.2078352899
1643155200000,2022-01-26 00:00:00,IQX/USD,0.0084035,0.009077,0.0083892,0.0085883,19666.99115095476,2289974.86708135
1643068800000,2022-01-25 00:00:00,IQX/USD,0.0083007,0.0084885,0.0079205,0.0084853,7876.559686460526,928259.42352781
1642982400000,2022-01-24 00:00:00,IQX/USD,0.0086723,0.0086723,0.0074422,0.0083795,7973.080755327573,951498.38956114
1642896000000,2022-01-23 00:00:00,IQX/USD,0.0083499,0.0091821,0.0082262,0.0085892,29952.89006101801,3487273.55993783
1642809600000,2022-01-22 00:00:00,IQX/USD,0.008796,0.0097497,0.0074895,0.0082906,42085.96754702657,5076347.61621916
1642723200000,2022-01-21 00:00:00,IQX/USD,0.0097869,0.010028,0.008522,0.0087163,16953.49327867366,1945033.24560578
1642636800000,2022-01-20 00:00:00,IQX/USD,0.010061,0.010625,0.0097831,0.0098081,11458.603518950982,1168279.63815122
1642550400000,2022-01-19 00:00:00,IQX/USD,0.010353,0.010587,0.0097901,0.010049,8089.207075747068,804976.3235891201
1642464000000,2022-01-18 00:00:00,IQX/USD,0.010622,0.010696,0.0099661,0.010377,7866.673636926442,758087.46621629
1642377600000,2022-01-17 00:00:00,IQX/USD,0.011089,0.011098,0.010501,0.010697,1647.8312981038157,154046.11555612
1642291200000,2022-01-16 00:00:00,IQX/USD,0.011034,0.01135,0.010883,0.011084,5380.2469957883495,485406.62177809
1642204800000,2022-01-15 00:00:00,IQX/USD,0.010894,0.011144,0.010787,0.010964,1860.7333138271702,169712.9983425
1642118400000,2022-01-14 00:00:00,IQX/USD,0.010698,0.010992,0.010477,0.010945,3771.75699843206,344610.050108
1642032000000,2022-01-13 00:00:00,IQX/USD,0.010945,0.011303,0.0107,0.0107,8495.915084574068,794010.75556767
1641945600000,2022-01-12 00:00:00,IQX/USD,0.010588,0.011349,0.010417,0.010899,8195.049626023645,751908.39765333
1641859200000,2022-01-11 00:00:00,IQX/USD,0.010417,0.010749,0.010015,0.010561,9573.22588233199,906469.64135328
1641772800000,2022-01-10 00:00:00,IQX/USD,0.011003,0.011128,0.009824,0.010356,13718.8627696326,1324726.03028511
1641686400000,2022-01-09 00:00:00,IQX/USD,0.010882,0.011358,0.01067,0.011022,6475.235083271884,587482.76930429
1641600000000,2022-01-08 00:00:00,IQX/USD,0.011161,0.01142,0.010688,0.010903,11648.482451435775,1068374.0669022999
1641513600000,2022-01-07 00:00:00,IQX/USD,0.011581,0.011936,0.010943,0.011093,9162.518487793082,825972.9998912
1641427200000,2022-01-06 00:00:00,IQX/USD,0.011901,0.012283,0.011295,0.01156,19240.209744686294,1664378.0055957001
1641340800000,2022-01-05 00:00:00,IQX/USD,0.012754,0.01349,0.011524,0.011691,30082.249823242724,2573111.78027908
