https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume STJ
1642809600000,2022-01-22 00:00:00,STJ/USD,1.1763,1.2031,0.93834,1.0385,59918.349085545575,57697.01404482
1642723200000,2022-01-21 00:00:00,STJ/USD,1.3937,1.3999,1.1479,1.1843,45301.82845212795,38251.98720943
1642636800000,2022-01-20 00:00:00,STJ/USD,1.4621,1.5231,1.3826,1.3969,14541.331426614723,10409.715388800001
1642550400000,2022-01-19 00:00:00,STJ/USD,1.551,1.5577,1.4482,1.4611,11441.726843387163,7830.89921524
1642464000000,2022-01-18 00:00:00,STJ/USD,1.6044,1.6087,1.4821,1.5531,19368.14837232257,12470.63831841
1642377600000,2022-01-17 00:00:00,STJ/USD,1.667,1.7232,1.5696,1.6024,17671.891261442128,11028.38945422
1642291200000,2022-01-16 00:00:00,STJ/USD,1.7149,1.7149,1.6399,1.6618,10955.292988609452,6592.42567614
1642204800000,2022-01-15 00:00:00,STJ/USD,1.6072,1.7288,1.59,1.6954,59460.99373943712,35071.95572693
1642118400000,2022-01-14 00:00:00,STJ/USD,1.5758,1.6175,1.5411,1.6074,21179.98311913359,13176.54791535
1642032000000,2022-01-13 00:00:00,STJ/USD,1.6745,1.6803,1.5752,1.5803,34216.23015762334,21651.73078379
1641945600000,2022-01-12 00:00:00,STJ/USD,1.5894,1.6769,1.5653,1.6717,19563.96999551102,11703.03882007
1641859200000,2022-01-11 00:00:00,STJ/USD,1.5084,1.5967,1.4566,1.5908,41571.523928570554,26132.46412407
1641772800000,2022-01-10 00:00:00,STJ/USD,1.561,1.6041,1.4075,1.5156,46827.404531276974,30896.94149596
1641686400000,2022-01-09 00:00:00,STJ/USD,1.5142,1.6116,1.5068,1.5504,36786.44185840536,23727.06518215
1641600000000,2022-01-08 00:00:00,STJ/USD,1.5628,1.6136,1.4486,1.5182,56517.016537621195,37226.33153578
1641513600000,2022-01-07 00:00:00,STJ/USD,1.6663,1.6995,1.51,1.5623,57046.227284158216,36514.25928705
1641427200000,2022-01-06 00:00:00,STJ/USD,1.6219,1.6689,1.549,1.6507,77758.38196588447,47106.3076064
1641340800000,2022-01-05 00:00:00,STJ/USD,1.7855,1.8675,1.5387,1.6297,43076.128284644,26431.93734101
1641254400000,2022-01-04 00:00:00,STJ/USD,1.848,1.8713,1.7785,1.7855,17841.79854643598,9992.60629876
1641168000000,2022-01-03 00:00:00,STJ/USD,1.9245,1.9697,1.8083,1.8513,36378.6051098153,19650.30254946
1641081600000,2022-01-02 00:00:00,STJ/USD,1.8182,2.0225,1.7995,1.9164,19015.16807569422,9922.33775605
1640995200000,2022-01-01 00:00:00,STJ/USD,1.7464,1.8355,1.7464,1.8328,7499.684738146968,4091.92750881
1640908800000,2021-12-31 00:00:00,STJ/USD,1.7658,1.8284,1.6994,1.7492,18475.011221191005,10561.97760187
1640822400000,2021-12-30 00:00:00,STJ/USD,1.6977,1.7927,1.6671,1.7656,18924.9742354688,10718.721248
1640736000000,2021-12-29 00:00:00,STJ/USD,1.8162,1.8467,1.6951,1.7109,31061.4021564683,18155.00739755
1640649600000,2021-12-28 00:00:00,STJ/USD,2.0485,2.0485,1.8055,1.8175,35751.27496724185,19670.57769862
1640563200000,2021-12-27 00:00:00,STJ/USD,2.0792,2.1777,2.0551,2.0583,17501.762915236694,8503.01846924
1640476800000,2021-12-26 00:00:00,STJ/USD,2.0137,2.082,1.9409,2.0733,20101.644218280424,9695.48266931
1640390400000,2021-12-25 00:00:00,STJ/USD,1.9567,2.0563,1.9548,2.032,49316.52773350368,24269.94475074
1640304000000,2021-12-24 00:00:00,STJ/USD,2.0684,2.0968,1.9383,1.9551,60911.19011459225,31155.02537701
