https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume RBT
1641859200000,2022-01-11 00:00:00,RBT/USD,42020,43320,41459,42991,11212.07343568,0.26080048
1641772800000,2022-01-10 00:00:00,RBT/USD,41626,42435,39832,42020,23914.636702000003,0.5691251
1641686400000,2022-01-09 00:00:00,RBT/USD,41701,42720,41287,41736,17277.3016704,0.4139664
1641600000000,2022-01-08 00:00:00,RBT/USD,41802,42474,40466,41503,15560.183156210001,0.37491707
1641513600000,2022-01-07 00:00:00,RBT/USD,42923,43164,40832,41311,6852.153118720001,0.16586752000000002
1641427200000,2022-01-06 00:00:00,RBT/USD,43166,43833,42363,42923,1123.78809527,0.026181489999999998
1641340800000,2022-01-05 00:00:00,RBT/USD,45651,46913,42738,43393,581.19239017,0.01339369
1641254400000,2022-01-04 00:00:00,RBT/USD,46307,47689,45594,45769,48474.08795314,1.05910306
1641168000000,2022-01-03 00:00:00,RBT/USD,47452,47685,45548,46308,634.4381232,0.0137004
1641081600000,2022-01-02 00:00:00,RBT/USD,47526,48184,46555,47100,29417.707167,0.62457977
1640995200000,2022-01-01 00:00:00,RBT/USD,46529,48078,46106,47298,7778.0988694200005,0.16444879
1640908800000,2021-12-31 00:00:00,RBT/USD,47011,48746,45673,46667,16889.58203901,0.36191703000000003
1640822400000,2021-12-30 00:00:00,RBT/USD,46176,47924,45930,47338,7760.378699000001,0.1639355
1640736000000,2021-12-29 00:00:00,RBT/USD,47372,48370,46153,46153,34380.10122505,0.74491585
1640649600000,2021-12-28 00:00:00,RBT/USD,50463,50638,47284,47857,65989.59663696999,1.37889121
1640563200000,2021-12-27 00:00:00,RBT/USD,50689,52170,50319,50976,26223.72590304,0.51443279
1640476800000,2021-12-26 00:00:00,RBT/USD,50219,51374,49471,50689,13431.042533729998,0.26496957
1640390400000,2021-12-25 00:00:00,RBT/USD,50613,51355,50200,50731,10828.42389297,0.21344787
1640304000000,2021-12-24 00:00:00,RBT/USD,50613,52029,50612,51033,26401.73781054,0.51734638
1640217600000,2021-12-23 00:00:00,RBT/USD,48363,51183,47889,51044,13427.20484952,0.26305158
1640131200000,2021-12-22 00:00:00,RBT/USD,48704,49792,48319,48853,5558.11133248,0.11377216
1640044800000,2021-12-21 00:00:00,RBT/USD,46799,49542,46495,49224,8068.1064828,0.16390595
1639958400000,2021-12-20 00:00:00,RBT/USD,46789,47559,45424,47159,26474.762668760002,0.56139364
1639872000000,2021-12-19 00:00:00,RBT/USD,46612,48371,46327,46789,7759.80545731,0.16584679
1639785600000,2021-12-18 00:00:00,RBT/USD,46321,47540,45430,46757,629.45021512,0.01346216
1639699200000,2021-12-17 00:00:00,RBT/USD,47433,48161,45530,46533,738.50011518,0.01587046
1639612800000,2021-12-16 00:00:00,RBT/USD,48718,49556,47431,47866,10182.50498174,0.21272939
1639526400000,2021-12-15 00:00:00,RBT/USD,48639,49559,46503,48711,37053.392390429995,0.76067813
1639440000000,2021-12-14 00:00:00,RBT/USD,46796,48799,46046,48653,661.40688361,0.01359437
1639353600000,2021-12-13 00:00:00,RBT/USD,50116,50418,46216,46452,113783.6816088,2.4494894
1639267200000,2021-12-12 00:00:00,RBT/USD,49221,50819,48677,49878,54748.5393159,1.09764905
1639180800000,2021-12-11 00:00:00,RBT/USD,47338,49721,46936,49126,22488.525939879997,0.45777238
1639094400000,2021-12-10 00:00:00,RBT/USD,47374,50091,47041,47041,5465.126945949999,0.11617794999999999
1639008000000,2021-12-09 00:00:00,RBT/USD,51043,51043,47235,47697,27248.7523542,0.5712886
1638921600000,2021-12-08 00:00:00,RBT/USD,50764,51184,48757,50763,5731.874194829999,0.11291440999999999
